2018-11-02 17:34:53,244 - DEBUG - generation=4, Rank=10, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=25.5200, childFitness=24.5200, networkFitness=27.4200
2018-11-02 17:38:45,919 - DEBUG - generation=4, Rank=11, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=33.7000, networkFitness=33.7000
2018-11-02 17:42:17,806 - DEBUG - generation=5, Rank=0, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=18.5500, childFitness=18.2900, networkFitness=46.2000
2018-11-02 17:45:34,182 - DEBUG - generation=5, Rank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=38.1400, childFitness=40.3600, networkFitness=40.3600
2018-11-02 17:49:01,596 - DEBUG - generation=5, Rank=2, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=20.7900, networkFitness=20.7900
2018-11-02 17:53:43,967 - DEBUG - generation=5, Rank=3, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 17:58:15,660 - DEBUG - generation=5, Rank=4, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 18:03:19,471 - DEBUG - generation=5, Rank=5, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 18:08:28,628 - DEBUG - generation=5, Rank=6, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 18:12:56,396 - DEBUG - generation=5, Rank=7, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
