2018-11-02 17:07:57,157 - DEBUG - generation=6, Rank=0, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=36.7200, childFitness=28.6500, networkFitness=41.8700
2018-11-02 17:11:17,975 - DEBUG - generation=6, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=30.8300, childFitness=31.5800, networkFitness=33.2300
2018-11-02 17:13:47,120 - DEBUG - generation=6, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=37.5200, childFitness=36.1200, networkFitness=40.8400
2018-11-02 17:16:37,433 - DEBUG - generation=6, Rank=3, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=40.3300, childFitness=39.7600, networkFitness=42.3900
2018-11-02 17:19:32,425 - DEBUG - generation=6, Rank=4, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=38.2800, childFitness=40.7800, networkFitness=41.2300
2018-11-02 17:22:38,323 - DEBUG - generation=6, Rank=5, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=18.0200, childFitness=36.3000, networkFitness=36.3000
2018-11-02 17:26:42,727 - DEBUG - generation=6, Rank=6, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=17.6800, childFitness=34.8200, networkFitness=34.8200
2018-11-02 17:31:37,773 - DEBUG - generation=6, Rank=7, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 128}, parentFitness=16.7900, childFitness=30.5300, networkFitness=30.5300
2018-11-02 17:34:57,834 - DEBUG - generation=6, Rank=8, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.1100, childFitness=17.8800, networkFitness=18.7700
2018-11-02 17:38:05,300 - DEBUG - generation=6, Rank=9, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.9400, childFitness=18.4500, networkFitness=23.4000
2018-11-02 17:41:15,855 - DEBUG - generation=7, Rank=0, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=30.1800, childFitness=33.5800, networkFitness=41.8700
2018-11-02 17:45:03,817 - DEBUG - generation=7, Rank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=33.3300, childFitness=34.2000, networkFitness=34.2000
2018-11-02 17:47:26,947 - DEBUG - generation=7, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=39.2900, childFitness=34.2700, networkFitness=40.8400
2018-11-02 17:50:30,190 - DEBUG - generation=7, Rank=3, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=37.9200, childFitness=40.6400, networkFitness=42.3900
2018-11-02 17:53:48,230 - DEBUG - generation=7, Rank=4, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=39.0800, childFitness=33.2900, networkFitness=41.2300
